label,accuracy,precision,recall,f1-score,support
related,0.8020594965675057,0.7916117183306105,0.8020594965675057,0.7669152740684025,5244
request,0.8935926773455377,0.8936807378023973,0.8935926773455377,0.8783735268280617,5244
offer,0.9944698703279939,0.9889703229901771,0.9944698703279939,0.9917124722746894,5244
aid_related,0.776697177726926,0.779301893905302,0.776697177726926,0.7709637286872559,5244
medical_help,0.9183829138062548,0.8982683830456731,0.9183829138062548,0.885701622882669,5244
medical_products,0.9528985507246377,0.9408140175694072,0.9528985507246377,0.9331677423996904,5244
search_and_rescue,0.9719679633867276,0.9727540582707702,0.9719679633867276,0.9585225487710027,5244
security,0.979023646071701,0.9588568419946947,0.979023646071701,0.9688353098050076,5244
military,0.9710144927536232,0.9608069866480592,0.9710144927536232,0.9584912942268247,5244
child_alone,1.0,1.0,1.0,1.0,5244
water,0.9565217391304348,0.9549534914874257,0.9565217391304348,0.9463588436813701,5244
food,0.9319221967963387,0.9284486639638079,0.9319221967963387,0.9216820213332787,5244
shelter,0.9334477498093059,0.9296220623260297,0.9334477498093059,0.9173893104714713,5244
clothing,0.986651411136537,0.9840180472775727,0.986651411136537,0.9814496624691965,5244
money,0.9773073989321129,0.9631770769432063,0.9773073989321129,0.9666495881449119,5244
missing_people,0.9900839054157132,0.980266139763231,0.9900839054157132,0.9851505628436916,5244
refugees,0.9635774218154081,0.9415585848180389,0.9635774218154081,0.9468106072775304,5244
death,0.9595728451563692,0.9557586953104666,0.9595728451563692,0.944237272820952,5244
other_aid,0.8705186880244088,0.8305606786813453,0.8705186880244088,0.8134971400543773,5244
infrastructure_related,0.9385964912280702,0.8813104189044039,0.9385964912280702,0.909051844642099,5244
transport,0.9565217391304348,0.9477950393193841,0.9565217391304348,0.9401528956000119,5244
buildings,0.9536613272311213,0.9463759306639202,0.9536613272311213,0.9361961705313263,5244
electricity,0.9811212814645309,0.9814778914883835,0.9811212814645309,0.972311316713703,5244
tools,0.9940884820747521,0.9882119101936847,0.9940884820747521,0.991141485522747,5244
hospitals,0.9900839054157132,0.9901822531018438,0.9900839054157132,0.9853341989603086,5244
shops,0.9969488939740656,0.9939070971961128,0.9969488939740656,0.9954256718289562,5244
aid_centers,0.9874141876430206,0.9749867779587262,0.9874141876430206,0.9811611329141355,5244
other_infrastructure,0.9574752097635393,0.9171162508930945,0.9574752097635393,0.9368612768499746,5244
weather_related,0.8800533943554538,0.8786671412658676,0.8800533943554538,0.8747425787073994,5244
floods,0.9433638443935927,0.9431796055663819,0.9433638443935927,0.9305156758374198,5244
storm,0.9382151029748284,0.9316903670063857,0.9382151029748284,0.9306555524141853,5244
fire,0.9898932112890922,0.9851269858454174,0.9898932112890922,0.9852320392080803,5244
earthquake,0.971395881006865,0.9704658833055755,0.971395881006865,0.9706526272669844,5244
cold,0.9805491990846682,0.9781927671209139,0.9805491990846682,0.9721118938871558,5244
other_weather,0.9460335621662853,0.9143159380948946,0.9460335621662853,0.9214479363432432,5244
direct_report,0.8661327231121282,0.8635395010767538,0.8661327231121282,0.844790641012842,5244
AVERAGE,0.9472571828121029,0.9372213933369432,0.9472571828121029,0.9337137074244711,5244.0
